Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,% of Total,Theaters,Average_Theatre_Rev,Date,Distributor
192,Ralph Breaks the Internet,56237634,201091711,144854077,28,"4,017",13999,"Nov 21, 2018",Walt Disney Studios Motion Pictures
193,Snow White and the Huntsman,56217700,155332381,99114681,36.20,"3,773",14900,"Jun 1, 2012",Universal Pictures
194,Big Hero 6,56215889,222527828,166311939,25.30,"3,761",14947,"Nov 7, 2014",Walt Disney Studios Motion Pictures
195,Charlie and the Chocolate Factory,56178450,206459076,150280626,27.20,"3,770",14901,"Jul 15, 2005",Warner Bros.
196,Fantastic Four,56061504,154696080,98634576,36.20,"3,602",15563,"Jul 8, 2005",Twentieth Century Fox
197,Gravity,55785112,274092705,218307593,20.40,"3,575",15604,"Oct 4, 2013",Warner Bros.
198,The Karate Kid,55665805,176591618,120925813,31.50,"3,663",15196,"Jun 11, 2010",Sony Pictures Releasing
199,Mission: Impossible - Rogue Nation,55520089,195042377,139522288,28.50,"3,956",14034,"Jul 31, 2015",Paramount Pictures
200,The Incredible Hulk,55414050,134806913,79392863,41.10,"3,505",15810,"Jun 13, 2008",Universal Pictures
201,The SpongeBob Movie: Sponge Out of Water,55365012,162994032,107629020,34,"3,641",15205,"Feb 6, 2015",Paramount Pictures
202,Watchmen,55214334,107509799,52295465,51.40,"3,611",15290,"Mar 6, 2009",Warner Bros.
203,X-Men: First Class,55101604,146408305,91306701,37.60,"3,641",15133,"Jun 3, 2011",Twentieth Century Fox
204,How the Grinch Stole Christmas,55082330,260044825,204962495,21.20,"3,127",17615,"Nov 17, 2000",Universal Pictures
205,The Chronicles of Narnia: Prince Caspian,55034805,141621490,86586685,38.90,"3,929",14007,"May 16, 2008",Walt Disney Studios Motion Pictures
206,How to Train Your Dragon: The Hidden World,55022245,160799505,105777260,34.20,"4,259",12919,"Feb 22, 2019",Universal Pictures
207,Rise of the Planet of the Apes,54806191,176760185,121953994,31,"3,648",15023,"Aug 5, 2011",Twentieth Century Fox
208,The Hobbit: The Battle of the Five Armies,54724334,255119788,200395454,21.40,"3,875",14122,"Dec 17, 2014",Warner Bros.
209,G.I. Joe: The Rise of Cobra,54713046,150201498,95488452,36.40,"4,007",13654,"Aug 7, 2009",Paramount Pictures
210,Divergent,54607747,150947895,96340148,36.20,"3,936",13873,"Mar 21, 2014",Lionsgate
211,Men in Black 3,54592779,179020854,124428075,30.50,"4,248",12851,"May 25, 2012",Sony Pictures Releasing
212,San Andreas,54588173,155190832,100602659,35.20,"3,777",14452,"May 29, 2015",Warner Bros.
213,X-Men,54471475,157299718,102828243,34.60,"3,025",18007,"Jul 14, 2000",Twentieth Century Fox
214,Ted,54415205,218815487,164400282,24.90,"3,239",16800,"Jun 29, 2012",Universal Pictures
215,Pokémon Detective Pikachu,54365242,144105346,89740104,37.70,"4,202",12937,"May 10, 2019",Warner Bros.
216,The Martian,54308575,228433663,174125088,23.80,"3,831",14176,"Oct 2, 2015",Twentieth Century Fox
217,Night at the Museum: Battle of the Smithsonian,54173286,177243721,123070435,30.60,"4,096",13225,"May 22, 2009",Twentieth Century Fox
218,Scooby-Doo,54155312,153294164,99138852,35.30,"3,447",15710,"Jun 14, 2002",Warner Bros.
219,The Nun,53807379,117450119,63642740,45.80,"3,876",13882,"Sep 7, 2018",Warner Bros.
220,Cars 3,53688680,152901115,99212435,35.10,"4,256",12614,"Jun 16, 2017",Walt Disney Studios Motion Pictures
