Rank,Release,Opening ($),Total Gross ($),Non-opening ($),% of Total,Theaters,Average ($),Date,Distributor,Average ($)
615,Erin Brockovich,"28,138,465","125,595,205",97456740,22.40,"2,848","9,880","Mar 17, 2000",Universal Pictures,"9,880"
616,Pacific Rim: Uprising,"28,116,535","59,874,525",31757990,47,"3,708","7,582","Mar 23, 2018",Universal Pictures,"7,582"
617,Starsky & Hutch,"28,103,367","88,237,754",60134387,31.80,"3,185","8,823","Mar 5, 2004",Warner Bros.,"8,823"
618,Sin City,"28,100,000","74,103,820",46003820,37.90,"3,230","8,699","Apr 1, 2005",Dimension Films,"8,699"
619,Back to the Future Part II,"27,835,125","118,450,002",90614877,23.50,"1,865","14,925","Nov 22, 1989",Universal Pictures,"14,925"
620,Hairspray,"27,800,000","118,871,849",91071849,23.40,"3,121","8,907","Jul 20, 2007",New Line Cinema,"8,907"
621,The Matrix,"27,788,331","171,479,930",143691599,16.20,"2,849","9,753","Mar 31, 1999",Warner Bros.,"9,753"
622,He's Just Not That Into You,"27,785,487","93,953,653",66168166,29.60,"3,175","8,751","Feb 6, 2009",Warner Bros.,"8,751"
623,Mamma Mia!,"27,751,240","144,130,063",116378823,19.20,"2,976","9,325","Jul 18, 2008",Universal Pictures,"9,325"
624,Big Momma's House 2,"27,736,056","70,165,972",42429916,39.50,"3,261","8,505","Jan 27, 2006",Twentieth Century Fox,"8,505"
625,Jarhead,"27,726,210","62,658,220",34932010,44.20,"2,411","11,499","Nov 4, 2005",Universal Pictures,"11,499"
626,Along Came Polly,"27,721,185","88,097,164",60375979,31.50,"2,984","9,289","Jan 16, 2004",Universal Pictures,"9,289"
627,Wild Wild West,"27,687,484","113,804,681",86117197,24.30,"3,342","8,284","Jun 30, 1999",Warner Bros.,"8,284"
628,Daddy Day Care,"27,623,580","104,297,061",76673481,26.50,"3,370","8,196","May 9, 2003",Revolution Studios,"8,196"
629,The Ugly Truth,"27,605,576","88,915,214",61309638,31,"2,882","9,578","Jul 24, 2009",Sony Pictures Releasing,"9,578"
630,Cheaper by the Dozen,"27,557,647","138,614,544",111056897,19.90,"3,298","8,355","Dec 25, 2003",Twentieth Century Fox,"8,355"
631,Wonder,"27,547,866","132,422,809",104874943,20.80,"3,096","8,897","Nov 17, 2017",Lionsgate,"8,897"
632,The Devil Wears Prada,"27,537,244","124,740,460",97203216,22.10,"2,847","9,672","Jun 30, 2006",Twentieth Century Fox,"9,672"
633,Space Jam,"27,528,529","90,418,342",62889813,30.40,"2,650","10,388","Nov 15, 1996",Warner Bros.,"10,388"
634,After Earth,"27,520,040","60,522,097",33002057,45.50,"3,401","8,091","May 31, 2013",Sony Pictures Releasing,"8,091"
635,Beowulf,"27,515,871","82,280,579",54764708,33.40,"3,153","8,726","Nov 16, 2007",Paramount Pictures,"8,726"
636,42,"27,487,144","95,020,213",67533069,28.90,"3,003","9,153","Apr 12, 2013",Warner Bros.,"9,153"
637,Bedtime Stories,"27,450,296","110,101,975",82651679,24.90,"3,681","7,457","Dec 25, 2008",Walt Disney Studios Motion Pictures,"7,457"
638,The Final Destination,"27,408,309","66,477,700",39069391,41.20,"3,121","8,781","Aug 28, 2009",Warner Bros.,"8,781"
639,Jumper,"27,354,808","80,172,128",52817320,34.10,"3,428","7,979","Feb 14, 2008",Twentieth Century Fox,"7,979"
640,Journey 2: The Mysterious Island,"27,335,363","103,860,290",76524927,26.30,"3,470","7,877","Feb 10, 2012",Warner Bros.,"7,877"
641,The Rugrats Movie,"27,321,470","100,494,675",73173205,27.20,"2,782","9,820","Nov 20, 1998",Paramount Pictures,"9,820"
642,Real Steel,"27,319,677","85,468,508",58148831,32,"3,440","7,941","Oct 7, 2011",Walt Disney Studios Motion Pictures,"7,941"
643,Les Misérables,"27,281,735","148,809,770",121528035,18.30,"2,814","9,695","Dec 25, 2012",Universal Pictures,"9,695"
644,Night School,"27,257,615","77,339,130",50081515,35.20,"3,010","9,055","Sep 28, 2018",Universal Pictures,"9,055"
645,Jack the Giant Slayer,"27,202,226","65,187,603",37985377,41.70,"3,525","7,716","Mar 1, 2013",Warner Bros.,"7,716"
646,The Bourne Identity,"27,118,640","121,661,683",94543043,22.30,"2,638","10,280","Jun 14, 2002",Universal Pictures,"10,280"
647,A Madea Family Funeral,"27,062,332","73,257,045",46194713,36.90,"2,442","11,082","Mar 1, 2019",Lionsgate,"11,082"
648,2 Guns,"27,059,130","75,612,460",48553330,35.80,"3,025","8,945","Aug 2, 2013",Universal Pictures,"8,945"
649,Terminator Genisys,"27,018,486","89,760,956",62742470,30.10,"3,758","7,189","Jul 1, 2015",Paramount Pictures,"7,189"
650,Ender's Game,"27,017,351","61,737,191",34719840,43.80,"3,407","7,929","Nov 1, 2013",Lionsgate,"7,929"
651,The Departed,"26,887,467","132,384,315",105496848,20.30,"3,017","8,911","Oct 6, 2006",Warner Bros.,"8,911"
652,Alice Through the Looking Glass,"26,858,726","77,041,381",50182655,34.90,"3,763","7,137","May 27, 2016",Walt Disney Studios Motion Pictures,"7,137"
653,Underworld: Evolution,"26,857,181","62,318,875",35461694,43.10,"3,207","8,374","Jan 20, 2006",Screen Gems,"8,374"
654,The Curious Case of Benjamin Button,"26,853,816","127,509,326",100655510,21.10,"2,988","8,987","Dec 25, 2008",Paramount Pictures,"8,987"
655,Zombieland: Double Tap,"26,803,104","73,123,082",46319978,36.60,"3,468","7,728","Oct 18, 2019",Sony Pictures Releasing,"7,728"
656,Knives Out,"26,769,548","165,179,842",138410294,16.20,"3,461","7,734","Nov 27, 2019",Lionsgate,"7,734"
657,Flubber,"26,725,207","92,977,226",66252019,28.70,"2,641","10,119","Nov 26, 1997",Walt Disney Studios Motion Pictures,"10,119"
658,Dawn of the Dead,"26,722,575","59,020,957",32298382,45.30,"2,745","9,735","Mar 19, 2004",Universal Pictures,"9,735"
659,The Sixth Sense,"26,681,262","293,506,292",266825030,9.10,"2,161","12,346","Aug 6, 1999",Walt Disney Studios Motion Pictures,"12,346"
660,Resident Evil: Afterlife,"26,650,264","60,128,566",33478302,44.30,"3,203","8,320","Sep 10, 2010",Screen Gems,"8,320"
661,The House with a Clock in Its Walls,"26,608,020","68,549,695",41941675,38.80,"3,592","7,407","Sep 21, 2018",Universal Pictures,"7,407"
662,The Campaign,"26,588,460","86,907,746",60319286,30.60,"3,205","8,295","Aug 10, 2012",Warner Bros.,"8,295"
663,Spy Kids,"26,546,881","112,719,001",86172120,23.60,"3,104","8,552","Mar 30, 2001",Miramax,"8,552"
664,The Pursuit of Happyness,"26,541,709","163,566,459",137024750,16.20,"2,852","9,306","Dec 15, 2006",Sony Pictures Releasing,"9,306"
665,Crazy Rich Asians,"26,510,140","174,532,921",148022781,15.20,"3,384","7,833","Aug 15, 2018",Warner Bros.,"7,833"
666,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"26,455,463","128,505,958",102050495,20.60,837,"31,607","Nov 3, 2006",Twentieth Century Fox,"31,607"
667,All Eyez on Me,"26,435,354","44,922,302",18486948,58.80,"2,471","10,698","Jun 16, 2017",Lionsgate,"10,698"
668,We're the Millers,"26,419,396","150,394,119",123974723,17.60,"3,260","8,104","Aug 7, 2013",Warner Bros.,"8,104"
669,Hollow Man,"26,414,386","73,209,340",46794954,36.10,"2,956","8,935","Aug 4, 2000",Sony Pictures Releasing,"8,935"
670,Don't Breathe,"26,411,706","89,217,875",62806169,29.60,"3,051","8,656","Aug 26, 2016",Screen Gems,"8,656"
671,Halloween,"26,362,367","58,272,029",31909662,45.20,"3,472","7,592","Aug 31, 2007",-,"7,592"
672,Beverly Hills Cop II,"26,348,555","153,665,036",127316481,17.20,"2,326","11,327","May 20, 1987",Paramount Pictures,"11,327"
673,The Curse of la Llorona,"26,347,631","54,733,739",28386108,48.10,"3,372","7,813","Apr 19, 2019",Warner Bros.,"7,813"
674,Bridesmaids,"26,247,410","169,106,725",142859315,15.50,"2,918","8,995","May 13, 2011",Universal Pictures,"8,995"
675,Anchorman 2: The Legend Continues,"26,232,425","125,168,368",98935943,21,"3,507","7,480","Dec 18, 2013",Paramount Pictures,"7,480"
676,Bolt,"26,223,128","114,053,579",87830451,23,"3,651","7,182","Nov 21, 2008",Walt Disney Studios Motion Pictures,"7,182"
677,GoldenEye,"26,205,007","106,429,941",80224934,24.60,"2,667","9,825","Nov 17, 1995",Metro-Goldwyn-Mayer (MGM),"9,825"
678,The Golden Compass,"26,125,000","70,107,728",43982728,37.30,"3,528","7,405","Dec 7, 2007",New Line Cinema,"7,405"
679,The Help,"26,044,590","169,708,112",143663522,15.40,"2,534","10,278","Aug 10, 2011",Walt Disney Studios Motion Pictures,"10,278"
680,Happy Death Day,"26,039,025","55,683,845",29644820,46.80,"3,149","8,268","Oct 13, 2017",Universal Pictures,"8,268"
681,The Perfect Guy,"25,888,154","57,027,435",31139281,45.40,"2,221","11,656","Sep 11, 2015",Screen Gems,"11,656"
682,True Lies,"25,869,770","146,282,411",120412641,17.70,"2,368","10,924","Jul 15, 1994",Twentieth Century Fox,"10,924"
683,Tropic Thunder,"25,812,796","110,515,313",84702517,23.40,"3,319","7,777","Aug 13, 2008",DreamWorks,"7,777"
684,Evil Dead,"25,775,847","54,239,856",28464009,47.50,"3,025","8,520","Apr 5, 2013",TriStar Pictures,"8,520"
685,Rocketman,"25,725,722","96,368,160",70642438,26.70,"3,610","7,126","May 31, 2019",Paramount Pictures,"7,126"
686,Miami Vice,"25,723,815","63,450,470",37726655,40.50,"3,021","8,515","Jul 28, 2006",Universal Pictures,"8,515"
687,Captain Phillips,"25,718,314","107,100,855",81382541,24,"3,020","8,515","Oct 11, 2013",Sony Pictures Releasing,"8,515"
688,Fantastic Four,"25,685,737","56,117,548",30431811,45.80,"3,995","6,429","Aug 7, 2015",Twentieth Century Fox,"6,429"
689,The A-Team,"25,669,455","77,222,099",51552644,33.20,"3,535","7,261","Jun 11, 2010",Twentieth Century Fox,"7,261"
690,Big Momma's House,"25,661,041","117,559,438",91898397,21.80,"2,802","9,158","Jun 2, 2000",Twentieth Century Fox,"9,158"
691,About Last Night,"25,649,011","48,637,684",22988673,52.70,"2,253","11,384","Feb 14, 2014",Screen Gems,"11,384"
692,V for Vendetta,"25,642,340","70,511,035",44868695,36.40,"3,365","7,620","Mar 17, 2006",Warner Bros.,"7,620"
693,Robin Hood: Prince of Thieves,"25,625,602","165,493,908",139868306,15.50,"2,369","10,817","Jun 14, 1991",Warner Bros.,"10,817"
694,Son of God,"25,601,865","59,700,064",34098199,42.90,"3,260","7,853","Feb 28, 2014",Twentieth Century Fox,"7,853"
695,Kill Bill: Vol. 2,"25,600,000","66,208,183",40608183,38.70,"2,971","8,616","Apr 16, 2004",Miramax,"8,616"
696,Total Recall,"25,577,758","58,877,969",33300211,43.40,"3,601","7,102","Aug 3, 2012",Sony Pictures Releasing,"7,102"
697,Battleship,"25,534,825","65,422,625",39887800,39,"3,690","6,920","May 18, 2012",Universal Pictures,"6,920"
698,Total Recall,"25,533,700","119,394,840",93861140,21.40,"2,060","12,395","Jun 1, 1990",Sony Pictures Releasing,"12,395"
699,Penguins of Madagascar,"25,447,444","83,850,911",58403467,30.40,"3,764","6,760","Nov 26, 2014",Twentieth Century Fox,"6,760"
700,The Visit,"25,427,560","65,206,105",39778545,39,"3,069","8,285","Sep 11, 2015",Universal Pictures,"8,285"
701,The Nutty Professor,"25,411,725","128,814,019",103402294,19.70,"2,115","12,015","Jun 28, 1996",Universal Pictures,"12,015"
702,The Firm,"25,400,000","158,348,367",132948367,16,"2,393","10,614","Jul 2, 1993",Paramount Pictures,"10,614"
703,Teenage Mutant Ninja Turtles,"25,398,367","135,265,915",109867548,18.80,"2,006","12,661","Mar 30, 1990",New Line Cinema,"12,661"
704,Madea's Witness Protection,"25,390,575","65,653,242",40262667,38.70,"2,161","11,749","Jun 29, 2012",Lionsgate,"11,749"
705,Gnomeo & Juliet,"25,356,909","99,967,670",74610761,25.40,"2,994","8,469","Feb 11, 2011",Walt Disney Studios Motion Pictures,"8,469"
706,Apollo 13,"25,353,380","172,071,312",146717932,14.70,"2,197","11,540","Jun 30, 1995",Universal Pictures,"11,540"
707,Indiana Jones and the Temple of Doom,"25,337,110","179,870,271",154533161,14.10,"1,687","15,019","May 23, 1984",Paramount Pictures,"15,019"
708,Gone in 60 Seconds,"25,336,048","101,648,571",76312523,24.90,"3,006","8,428","Jun 9, 2000",Walt Disney Studios Motion Pictures,"8,428"
709,Underworld Awakening,"25,306,725","62,321,039",37014314,40.60,"3,078","8,221","Jan 20, 2012",Screen Gems,"8,221"
710,Public Enemies,"25,271,675","97,104,620",71832945,26,"3,334","7,579","Jul 1, 2009",Universal Pictures,"7,579"
711,Patch Adams,"25,262,280","135,026,902",109764622,18.70,"2,712","9,315","Dec 25, 1998",Universal Pictures,"9,315"
712,Date Night,"25,207,599","98,711,404",73503805,25.50,"3,374","7,471","Apr 9, 2010",Twentieth Century Fox,"7,471"
713,Tomorrow Never Dies,"25,143,007","125,304,276",100161269,20.10,"2,807","8,957","Dec 19, 1997",Metro-Goldwyn-Mayer (MGM),"8,957"
714,Meet the Robinsons,"25,123,781","97,822,171",72698390,25.70,"3,413","7,361","Mar 30, 2007",Walt Disney Studios Motion Pictures,"7,361"
715,Master and Commander: The Far Side of the World,"25,105,990","93,927,920",68821930,26.70,"3,101","8,096","Nov 14, 2003",Twentieth Century Fox,"8,096"
716,The Rock,"25,069,525","134,069,511",108999986,18.70,"2,392","10,480","Jun 7, 1996",Walt Disney Studios Motion Pictures,"10,480"
717,Madea's Big Happy Family,"25,068,677","53,345,287",28276610,47,"2,288","10,956","Apr 22, 2011",Lionsgate,"10,956"
718,Dr. Dolittle 2,"25,037,039","112,952,899",87915860,22.20,"3,049","8,211","Jun 22, 2001",Twentieth Century Fox,"8,211"
719,Vanilla Sky,"25,015,518","100,618,344",75602826,24.90,"2,742","9,123","Dec 14, 2001",Paramount Pictures,"9,123"
720,Peter Rabbit,"25,010,928","115,253,424",90242496,21.70,"3,725","6,714","Feb 9, 2018",Sony Pictures Releasing,"6,714"
721,Jack and Jill,"25,003,575","74,158,157",49154582,33.70,"3,438","7,272","Nov 11, 2011",Sony Pictures Releasing,"7,272"
722,Skyscraper,"24,905,015","68,420,120",43515105,36.40,"3,782","6,585","Jul 13, 2018",Universal Pictures,"6,585"
723,Flight,"24,900,566","93,772,375",68871809,26.60,"1,884","13,216","Nov 2, 2012",Paramount Pictures,"13,216"
724,White House Down,"24,852,258","73,103,784",48251526,34,"3,222","7,713","Jun 28, 2013",Sony Pictures Releasing,"7,713"
725,A Good Day to Die Hard,"24,834,845","67,349,198",42514353,36.90,"3,553","6,989","Feb 14, 2013",Twentieth Century Fox,"6,989"
726,True Grit,"24,830,443","171,243,005",146412562,14.50,"3,047","8,149","Dec 22, 2010",Paramount Pictures,"8,149"
727,The Call of the Wild,"24,791,624","57,806,808",33015184,42.90,"3,752","6,607","Feb 21, 2020",Twentieth Century Fox,"6,607"
728,The Other Woman,"24,763,752","83,911,193",59147441,29.50,"3,205","7,726","Apr 25, 2014",Twentieth Century Fox,"7,726"
729,Predators,"24,760,882","52,000,688",27239806,47.60,"2,669","9,277","Jul 9, 2010",Twentieth Century Fox,"9,277"
730,Zombieland,"24,733,155","75,590,286",50857131,32.70,"3,036","8,146","Oct 2, 2009",Sony Pictures Releasing,"8,146"
731,10 Cloverfield Lane,"24,727,437","72,082,998",47355561,34.30,"3,391","7,292","Mar 11, 2016",Paramount Pictures,"7,292"
732,Taken,"24,717,037","145,000,989",120283952,17,"3,183","7,765","Jan 30, 2009",Twentieth Century Fox,"7,765"
733,The Accountant,"24,710,273","86,260,045",61549772,28.60,"3,332","7,416","Oct 14, 2016",Warner Bros.,"7,416"
734,Collateral,"24,701,458","101,005,703",76304245,24.50,"3,188","7,748","Aug 6, 2004",DreamWorks Distribution,"7,748"
735,Congo,"24,642,539","81,022,101",56379562,30.40,"2,649","9,302","Jun 9, 1995",Paramount Pictures,"9,302"
736,Lee Daniels' The Butler,"24,637,312","116,632,095",91994783,21.10,"2,933","8,400","Aug 16, 2013",The Weinstein Company,"8,400"
737,The Predator,"24,632,284","51,024,708",26392424,48.30,"4,037","6,101","Sep 14, 2018",Twentieth Century Fox,"6,101"
738,Flightplan,"24,629,938","89,707,299",65077361,27.50,"3,424","7,193","Sep 23, 2005",Walt Disney Studios Motion Pictures,"7,193"
739,Knowing,"24,604,751","79,957,634",55352883,30.80,"3,332","7,384","Mar 20, 2009",Summit Entertainment,"7,384"
740,Christopher Robin,"24,585,139","99,215,042",74629903,24.80,"3,602","6,825","Aug 3, 2018",Walt Disney Studios Motion Pictures,"6,825"
741,Eraser,"24,566,446","101,295,562",76729116,24.20,"2,410","10,193","Jun 21, 1996",Warner Bros.,"10,193"
742,The Girl on the Train,"24,536,265","75,395,035",50858770,32.50,"3,144","7,804","Oct 7, 2016",Universal Pictures,"7,804"
743,The Emoji Movie,"24,531,923","86,089,513",61557590,28.50,"4,075","6,020","Jul 28, 2017",Sony Pictures Releasing,"6,020"
744,Pet Sematary,"24,502,775","54,724,696",30221921,44.80,"3,585","6,834","Apr 5, 2019",Paramount Pictures,"6,834"
745,Act of Valor,"24,476,632","70,012,847",45536215,35,"3,039","8,054","Feb 24, 2012",Relativity Media,"8,054"
746,Forrest Gump,"24,450,602","329,694,499",305243897,7.40,"1,595","15,329","Jul 6, 1994",Paramount Pictures,"15,329"
747,Mean Girls,"24,432,195","86,058,055",61625860,28.40,"2,839","8,605","Apr 30, 2004",Paramount Pictures,"8,605"
748,Failure to Launch,"24,411,322","88,715,192",64303870,27.50,"3,057","7,985","Mar 10, 2006",Paramount Pictures,"7,985"
749,Race to Witch Mountain,"24,402,214","67,172,594",42770380,36.30,"3,187","7,656","Mar 13, 2009",Walt Disney Studios Motion Pictures,"7,656"
750,Contraband,"24,349,815","66,528,000",42178185,36.60,"2,863","8,505","Jan 13, 2012",Universal Pictures,"8,505"
751,The Chronicles of Riddick,"24,289,165","57,761,012",33471847,42,"2,757","8,809","Jun 11, 2004",Universal Pictures,"8,809"
752,The Haunted Mansion,"24,278,410","75,847,266",51568856,32,"3,122","7,776","Nov 26, 2003",Walt Disney Studios Motion Pictures,"7,776"
753,The Last Samurai,"24,271,354","111,127,263",86855909,21.80,"2,908","8,346","Dec 5, 2003",Warner Bros.,"8,346"
754,TMNT,"24,255,205","54,149,098",29893893,44.80,"3,110","7,799","Mar 23, 2007",Warner Bros.,"7,799"
755,No Good Deed,"24,250,283","52,543,632",28293349,46.20,"2,175","11,149","Sep 12, 2014",Screen Gems,"11,149"
756,Barbershop 2: Back in Business,"24,241,612","65,111,277",40869665,37.20,"2,711","8,941","Feb 6, 2004",Metro-Goldwyn-Mayer (MGM),"8,941"
757,"Me, Myself & Irene","24,209,385","90,570,999",66361614,26.70,"3,019","8,019","Jun 23, 2000",Twentieth Century Fox,"8,019"
758,The Addams Family,"24,203,754","113,502,426",89298672,21.30,"2,411","10,038","Nov 22, 1991",Paramount Pictures,"10,038"
759,Coach Carter,"24,182,961","67,264,877",43081916,36,"2,524","9,581","Jan 14, 2005",Paramount Pictures,"9,581"
760,Maze Runner: The Death Cure,"24,167,011","58,032,443",33865432,41.60,"3,787","6,381","Jan 26, 2018",Twentieth Century Fox,"6,381"
761,Warcraft,"24,166,110","47,365,290",23199180,51,"3,400","7,107","Jun 10, 2016",Universal Pictures,"7,107"
762,Con Air,"24,131,738","101,117,573",76985835,23.90,"2,824","8,545","Jun 6, 1997",Walt Disney Studios Motion Pictures,"8,545"
763,Exodus: Gods and Kings,"24,115,934","65,014,513",40898579,37.10,"3,503","6,884","Dec 12, 2014",Twentieth Century Fox,"6,884"
764,White Noise,"24,113,565","56,386,759",32273194,42.80,"2,261","10,665","Jan 7, 2005",Universal Pictures,"10,665"
765,21,"24,105,943","81,159,365",57053422,29.70,"2,648","9,103","Mar 28, 2008",Sony Pictures Releasing,"9,103"
766,Arrival,"24,074,047","100,546,139",76472092,23.90,"2,317","10,390","Nov 11, 2016",Paramount Pictures,"10,390"
767,Tower Heist,"24,025,190","78,046,570",54021380,30.80,"3,367","7,135","Nov 4, 2011",Universal Pictures,"7,135"
768,Pixels,"24,011,616","78,747,585",54735969,30.50,"3,723","6,449","Jul 24, 2015",Sony Pictures Releasing,"6,449"
769,The Chronicles of Narnia: The Voyage of the Dawn Treader,"24,005,069","104,386,950",80381881,23,"3,555","6,752","Dec 10, 2010",Twentieth Century Fox,"6,752"
770,Monster-in-Law,"24,000,000","82,931,301",58931301,28.90,"3,424","7,009","May 13, 2005",New Line Cinema,"7,009"
771,The Fast and the Furious: Tokyo Drift,"23,973,840","62,514,415",38540575,38.40,"3,027","7,920","Jun 16, 2006",Universal Pictures,"7,920"
772,Fahrenheit 9/11,"23,920,637","119,194,771",95274134,20.10,868,"27,558","Jun 23, 2004",Lionsgate,"27,558"
773,Captain Underpants: The First Epic Movie,"23,851,539","73,921,000",50069461,32.30,"3,434","6,945","Jun 2, 2017",Twentieth Century Fox,"6,945"
774,Bad Moms,"23,817,340","113,257,297",89439957,21,"3,215","7,408","Jul 29, 2016",STX Entertainment,"7,408"
775,The Town,"23,808,032","92,186,262",68378230,25.80,"2,861","8,321","Sep 17, 2010",Warner Bros.,"8,321"
776,How to Lose a Guy in 10 Days,"23,774,850","105,813,373",82038523,22.50,"2,923","8,133","Feb 7, 2003",Paramount Pictures,"8,133"
777,Rise of the Guardians,"23,773,465","103,412,758",79639293,23,"3,653","6,507","Nov 21, 2012",DreamWorks,"6,507"
778,Paul Blart: Mall Cop 2,"23,762,435","71,038,190",47275755,33.40,"3,633","6,540","Apr 17, 2015",Sony Pictures Releasing,"6,540"
779,The Fugitive,"23,758,855","183,875,760",160116905,12.90,"2,340","10,153","Aug 6, 1993",Warner Bros.,"10,153"
780,Diary of a Wimpy Kid: Rodrick Rules,"23,751,502","52,698,535",28947033,45.10,"3,167","7,499","Mar 25, 2011",Twentieth Century Fox,"7,499"
781,17 Again,"23,722,310","64,167,069",40444759,37,"3,255","7,287","Apr 17, 2009",Warner Bros.,"7,287"
782,Fury,"23,702,421","85,817,906",62115485,27.60,"3,173","7,470","Oct 17, 2014",Sony Pictures Releasing,"7,470"
783,Resident Evil: Extinction,"23,678,580","50,648,679",26970099,46.80,"2,828","8,372","Sep 21, 2007",Screen Gems,"8,372"
784,Tomb Raider,"23,633,317","58,250,803",34617486,40.60,"3,854","6,132","Mar 16, 2018",Warner Bros.,"6,132"
785,Open Season,"23,624,548","85,105,259",61480711,27.80,"3,833","6,163","Sep 29, 2006",Sony Pictures Releasing,"6,163"
786,Goosebumps,"23,618,556","80,080,379",56461823,29.50,"3,501","6,746","Oct 16, 2015",Sony Pictures Releasing,"6,746"
787,The Boss,"23,586,645","63,285,885",39699240,37.30,"3,480","6,777","Apr 8, 2016",Universal Pictures,"6,777"
788,Dinner for Schmucks,"23,527,839","73,026,337",49498498,32.20,"2,911","8,082","Jul 30, 2010",DreamWorks,"8,082"
789,Mary Poppins Returns,"23,523,121","171,958,438",148435317,13.70,"4,090","5,751","Dec 19, 2018",Walt Disney Studios Motion Pictures,"5,751"
790,Dracula Untold,"23,514,615","56,280,355",32765740,41.80,"2,885","8,150","Oct 10, 2014",Universal Pictures,"8,150"
791,The Amityville Horror,"23,507,007","65,233,369",41726362,36,"3,323","7,074","Apr 15, 2005",Metro-Goldwyn-Mayer (MGM),"7,074"
792,Be Cool,"23,450,212","56,046,979",32596767,41.80,"3,216","7,291","Mar 4, 2005",Metro-Goldwyn-Mayer (MGM),"7,291"
793,I Can Do Bad All by Myself,"23,446,785","51,733,921",28287136,45.30,"2,255","10,397","Sep 11, 2009",Lionsgate,"10,397"
794,Save the Last Dance,"23,444,930","91,057,006",67612076,25.80,"2,230","10,513","Jan 12, 2001",Paramount Pictures,"10,513"
795,Once Upon a Time in Mexico,"23,424,118","56,359,780",32935662,41.60,"3,282","7,137","Sep 12, 2003",Sony Pictures Releasing,"7,137"
796,Face/Off,"23,387,530","112,276,146",88888616,20.80,"2,621","8,923","Jun 27, 1997",Paramount Pictures,"8,923"
797,The Taking of Pelham 123,"23,373,102","65,452,312",42079210,35.70,"3,074","7,603","Jun 12, 2009",Sony Pictures Releasing,"7,603"
798,The Polar Express,"23,323,463","162,775,358",139451895,14.30,"3,650","6,389","Nov 10, 2004",Warner Bros.,"6,389"
799,Mortal Kombat,"23,283,887","70,454,098",47170211,33,"2,421","9,617","Aug 18, 1995",New Line Cinema,"9,617"
800,Pineapple Express,"23,245,025","87,341,380",64096355,26.60,"3,072","7,566","Aug 6, 2008",Sony Pictures Releasing,"7,566"
801,Alvin and the Chipmunks: Chipwrecked,"23,244,744","133,110,742",109865998,17.50,"3,723","6,243","Dec 16, 2011",Twentieth Century Fox,"6,243"
802,Eragon,"23,239,907","75,030,163",51790256,31,"3,020","7,695","Dec 15, 2006",Twentieth Century Fox,"7,695"
803,This Is It,"23,234,394","72,091,016",48856622,32.20,"3,481","6,674","Oct 28, 2009",Sony Pictures Releasing,"6,674"
804,Hellboy,"23,172,440","59,623,958",36451518,38.90,"3,028","7,652","Apr 2, 2004",Revolution Studios,"7,652"
805,Double Jeopardy,"23,162,542","116,741,558",93579016,19.80,"2,547","9,094","Sep 24, 1999",Paramount Pictures,"9,094"
806,The Mask,"23,117,068","119,938,730",96821662,19.30,"2,360","9,795","Jul 29, 1994",New Line Cinema,"9,795"
807,Star Trek: Generations,"23,116,394","75,671,125",52554731,30.60,"2,659","8,693","Nov 18, 1994",Paramount Pictures,"8,693"
808,Eat Pray Love,"23,104,523","80,574,010",57469487,28.70,"3,082","7,496","Aug 13, 2010",Sony Pictures Releasing,"7,496"
809,The League of Extraordinary Gentlemen,"23,075,892","66,465,204",43389312,34.70,"3,002","7,686","Jul 11, 2003",Twentieth Century Fox,"7,686"
810,Smallfoot,"23,045,635","83,240,103",60194468,27.70,"4,131","5,578","Sep 28, 2018",Warner Bros.,"5,578"
811,Resident Evil: Apocalypse,"23,036,273","51,201,453",28165180,45,"3,284","7,014","Sep 10, 2004",Screen Gems,"7,014"
812,Star Wars: Episode VI - Return of the Jedi,"23,019,618","252,583,617",229563999,9.10,"1,002","22,973","May 25, 1983",Twentieth Century Fox,"22,973"
813,27 Dresses,"23,007,725","76,808,654",53800929,30,"3,057","7,526","Jan 18, 2008",Twentieth Century Fox,"7,526"
814,The Haunting in Connecticut2009 Re-release,"23,004,765","55,389,516",32384751,41.50,"2,732","8,420","Mar 27, 2009",Lionsgate,"8,420"
815,The Princess Diaries 2: Royal Engagement,"22,956,453","95,170,481",72214028,24.10,"3,472","6,611","Aug 11, 2004",Walt Disney Studios Motion Pictures,"6,611"
816,The Game Plan,"22,950,971","90,648,202",67697231,25.30,"3,103","7,396","Sep 28, 2007",Walt Disney Studios Motion Pictures,"7,396"
817,Vantage Point,"22,874,936","72,266,306",49391370,31.60,"3,149","7,264","Feb 22, 2008",Sony Pictures Releasing,"7,264"
818,Jack Reacher: Never Go Back,"22,872,490","58,697,076",35824586,39,"3,780","6,050","Oct 21, 2016",Paramount Pictures,"6,050"
819,The Princess Diaries,"22,862,269","108,248,956",85386687,21.10,"2,537","9,011","Aug 3, 2001",Walt Disney Studios Motion Pictures,"9,011"
820,Mission to Mars,"22,855,247","60,883,407",38028160,37.50,"3,054","7,483","Mar 10, 2000",Walt Disney Studios Motion Pictures,"7,483"
821,The Interpreter,"22,822,455","72,708,161",49885706,31.40,"2,758","8,275","Apr 22, 2005",Universal Pictures,"8,275"
822,Jackass: The Movie,"22,763,437","64,255,312",41491875,35.40,"2,509","9,072","Oct 25, 2002",Paramount Pictures,"9,072"
