Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,Percent_of_Total,Theaters,Average_Theatre_Rev,Date,Distributor
134,Up,68108790,293004164,224895374,23.20,3766,18085,29/05/2009,Walt Disney Studios Motion Pictures
135,Ice Age: The Meltdown,68033544,195330621,127297077,34.80,3964,17162,31/03/2006,Twentieth Century Fox
136,Bruce Almighty,67953330,242829261,174875931,28,3483,19510,23/05/2003,Universal Pictures
137,Cinderella,67877361,201151353,133273992,33.70,3845,17653,13/03/2015,Walt Disney Studios Motion Pictures
138,Aquaman,67873522,335061807,267188285,20.30,4125,16454,21/12/2018,Warner Bros.
139,Dr. Seuss' The Grinch,67572855,270620950,203048095,25,4141,16318,09/11/2018,Universal Pictures
140,Quantum of Solace,67528882,168368427,100839545,40.10,3451,19567,14/11/2008,Sony Pictures Releasing
141,Rush Hour 2,67408222,226164286,158756064,29.80,3118,21619,03/08/2001,New Line Cinema
142,World War Z,66411834,202359711,135947877,32.80,3607,18411,21/06/2013,Paramount Pictures
143,Brave,66323594,237283207,170959613,28,4164,15927,22/06/2012,Walt Disney Studios Motion Pictures
144,Cars 2,66135507,191452396,125316889,34.50,4115,16071,24/06/2011,Walt Disney Studios Motion Pictures
145,X-Men: Apocalypse,65769562,155442489,89672927,42.30,4150,15848,27/05/2016,Twentieth Century Fox
146,Thor,65723338,181030624,115307286,36.30,3955,16617,06/05/2011,Paramount Pictures
147,Teenage Mutant Ninja Turtles,65575105,191204754,125629649,34.30,3845,17054,08/08/2014,Paramount Pictures
148,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",65556312,291710957,226154645,22.50,3616,18129,09/12/2005,Walt Disney Studios Motion Pictures
149,2012,65237614,166112167,100874553,39.30,3404,19164,13/11/2009,Sony Pictures Releasing
150,Captain America: The First Avenger,65058524,176654505,111595981,36.80,3715,17512,22/07/2011,Paramount Pictures
151,War of the Worlds,64878725,234280354,169401629,27.70,3908,16601,29/06/2005,Paramount Pictures
152,The Twilight Saga: Eclipse,64832191,300531751,235699560,21.60,4468,14510,30/06/2010,Summit Entertainment
153,Star Wars: Episode I - The Phantom Menace,64820970,431088295,366267325,15,2970,21825,19/05/1999,Twentieth Century Fox
154,Madagascar: Escape 2 Africa,63106589,180010950,116904361,35.10,4056,15558,07/11/2008,DreamWorks
155,WALL·E,63087526,223808164,160720638,28.20,3992,15803,27/06/2008,Walt Disney Studios Motion Pictures
156,Pirates of the Caribbean: Dead Men Tell No Tales,62983253,172558876,109575623,36.50,4276,14729,26/05/2017,Walt Disney Studios Motion Pictures
157,Inception,62785337,292576195,229790858,21.50,3792,16557,16/07/2010,Warner Bros.
158,Hancock,62603879,227946274,165342395,27.50,3965,15789,02/07/2008,Sony Pictures Releasing
159,"Monsters, Inc.",62577067,255873250,193296183,24.50,3237,19331,02/11/2001,Walt Disney Studios Motion Pictures
160,Bad Boys for Life,62504105,202287687,139783582,30.90,3775,16557,17/01/2020,Sony Pictures Releasing
161,Sherlock Holmes,62304277,209028679,146724402,29.80,3626,17182,25/12/2009,Warner Bros.
162,Fantastic Beasts: The Crimes of Grindelwald,62163104,159555901,97392797,39,4163,14932,16/11/2018,Warner Bros.
163,Hulk,62128420,132177234,70048814,47,3660,16974,20/06/2003,Universal Pictures
164,The Lord of the Rings: The Two Towers,62007528,339789881,277782353,18.20,3622,17119,18/12/2002,New Line Cinema
165,The Amazing Spider-Man,62004688,262030663,200025975,23.70,4318,14359,03/07/2012,Sony Pictures Releasing
166,Mission: Impossible - Fallout,61236534,220159104,158922570,27.80,4386,13961,27/07/2018,Paramount Pictures
167,Clash of the Titans,61235105,163214888,101979783,37.50,3777,16212,02/04/2010,Warner Bros.
168,Kong: Skull Island,61025472,168052812,107027340,36.30,3846,15867,10/03/2017,Warner Bros.
169,Madagascar 3: Europe's Most Wanted,60316738,216391482,156074744,27.90,4258,14165,08/06/2012,DreamWorks
170,Kung Fu Panda,60239130,215434591,155195461,28,4114,14642,06/06/2008,DreamWorks
171,Straight Outta Compton,60200180,161197785,100997605,37.40,2757,21835,14/08/2015,Universal Pictures
172,Cars,60119509,244082982,183963473,24.60,3985,15086,09/06/2006,Walt Disney Studios Motion Pictures
173,Signs,60117080,227966634,167849554,26.40,3264,18418,02/08/2002,Walt Disney Studios Motion Pictures
174,Fast & Furious Presents: Hobbs & Shaw,60038950,173956935,113917985,34.50,4253,14116,02/08/2019,Universal Pictures
175,Monsters vs. Aliens,59321095,198351526,139030431,29.90,4104,14454,27/03/2009,DreamWorks
176,Star Trek Beyond,59253211,158848340,99595129,37.30,3928,15084,22/07/2016,Paramount Pictures
177,Jumanji: The Next Level,59251543,315971726,256720183,18.80,4227,14017,13/12/2019,Sony Pictures Releasing
178,Jason Bourne,59215365,162434410,103219045,36.40,4026,14708,29/07/2016,Universal Pictures
179,Pearl Harbor,59078912,198542554,139463642,29.80,3214,18381,25/05/2001,Walt Disney Studios Motion Pictures
180,Fantastic 4: Rise of the Silver Surfer,58051684,131921738,73870054,44,3959,14663,15/06/2007,Twentieth Century Fox
181,Sonic the Hedgehog,58018348,141140061,83121713,41.10,4167,13923,14/02/2020,Paramount Pictures
182,Hannibal,58003121,165092268,107089147,35.10,3230,17957,09/02/2001,Metro-Goldwyn-Mayer (MGM)
183,Mission: Impossible II,57845297,215409889,157564592,26.80,3653,15835,24/05/2000,Paramount Pictures
184,Ant-Man,57225526,180202163,122976637,31.80,3856,14840,17/07/2015,Walt Disney Studios Motion Pictures
185,22 Jump Street,57071445,191719337,134647892,29.80,3306,17262,13/06/2014,Sony Pictures Releasing
186,Sex and the City,57038404,152647258,95608854,37.40,3285,17363,30/05/2008,Warner Bros.
187,John Wick: Chapter 3 - Parabellum,56818067,171015687,114197620,33.20,3850,14757,17/05/2019,Lionsgate
188,Moana,56631401,248757044,192125643,22.80,3875,14614,23/11/2016,Walt Disney Studios Motion Pictures
189,Despicable Me,56397125,251513985,195116860,22.40,3476,16224,09/07/2010,Universal Pictures
190,War for the Planet of the Apes,56262929,146880162,90617233,38.30,4022,13988,14/07/2017,Twentieth Century Fox
191,Valentine's Day,56260707,110485654,54224947,50.90,3665,15350,12/02/2010,Warner Bros.
192,Ralph Breaks the Internet,56237634,201091711,144854077,28,4017,13999,21/11/2018,Walt Disney Studios Motion Pictures
193,Snow White and the Huntsman,56217700,155332381,99114681,36.20,3773,14900,01/06/2012,Universal Pictures
194,Big Hero 6,56215889,222527828,166311939,25.30,3761,14947,07/11/2014,Walt Disney Studios Motion Pictures
195,Charlie and the Chocolate Factory,56178450,206459076,150280626,27.20,3770,14901,15/07/2005,Warner Bros.
196,Fantastic Four,56061504,154696080,98634576,36.20,3602,15563,08/07/2005,Twentieth Century Fox
197,Gravity,55785112,274092705,218307593,20.40,3575,15604,04/10/2013,Warner Bros.
198,The Karate Kid,55665805,176591618,120925813,31.50,3663,15196,11/06/2010,Sony Pictures Releasing
199,Mission: Impossible - Rogue Nation,55520089,195042377,139522288,28.50,3956,14034,31/07/2015,Paramount Pictures
200,The Incredible Hulk,55414050,134806913,79392863,41.10,3505,15810,13/06/2008,Universal Pictures
201,The SpongeBob Movie: Sponge Out of Water,55365012,162994032,107629020,34,3641,15205,06/02/2015,Paramount Pictures
202,Watchmen,55214334,107509799,52295465,51.40,3611,15290,06/03/2009,Warner Bros.
203,X-Men: First Class,55101604,146408305,91306701,37.60,3641,15133,03/06/2011,Twentieth Century Fox
204,How the Grinch Stole Christmas,55082330,260044825,204962495,21.20,3127,17615,17/11/2000,Universal Pictures
205,The Chronicles of Narnia: Prince Caspian,55034805,141621490,86586685,38.90,3929,14007,16/05/2008,Walt Disney Studios Motion Pictures
206,How to Train Your Dragon: The Hidden World,55022245,160799505,105777260,34.20,4259,12919,22/02/2019,Universal Pictures
207,Rise of the Planet of the Apes,54806191,176760185,121953994,31,3648,15023,05/08/2011,Twentieth Century Fox
208,The Hobbit: The Battle of the Five Armies,54724334,255119788,200395454,21.40,3875,14122,17/12/2014,Warner Bros.
209,G.I. Joe: The Rise of Cobra,54713046,150201498,95488452,36.40,4007,13654,07/08/2009,Paramount Pictures
210,Divergent,54607747,150947895,96340148,36.20,3936,13873,21/03/2014,Lionsgate
211,Men in Black 3,54592779,179020854,124428075,30.50,4248,12851,25/05/2012,Sony Pictures Releasing
212,San Andreas,54588173,155190832,100602659,35.20,3777,14452,29/05/2015,Warner Bros.
213,X-Men,54471475,157299718,102828243,34.60,3025,18007,14/07/2000,Twentieth Century Fox
214,Ted,54415205,218815487,164400282,24.90,3239,16800,29/06/2012,Universal Pictures
215,Pokémon Detective Pikachu,54365242,144105346,89740104,37.70,4202,12937,10/05/2019,Warner Bros.
216,The Martian,54308575,228433663,174125088,23.80,3831,14176,02/10/2015,Twentieth Century Fox
217,Night at the Museum: Battle of the Smithsonian,54173286,177243721,123070435,30.60,4096,13225,22/05/2009,Twentieth Century Fox
218,Scooby-Doo,54155312,153294164,99138852,35.30,3447,15710,14/06/2002,Warner Bros.
219,The Nun,53807379,117450119,63642740,45.80,3876,13882,07/09/2018,Warner Bros.
220,Cars 3,53688680,152901115,99212435,35.10,4256,12614,16/06/2017,Walt Disney Studios Motion Pictures
221,Shazam!,53505326,140371656,86866330,38.10,4217,12688,05/04/2019,Warner Bros.
222,Green Lantern,53174303,116601172,63426869,45.60,3816,13934,17/06/2011,Warner Bros.
223,The Wolverine,53113752,132556852,79443100,40.10,3924,13535,26/07/2013,Twentieth Century Fox
224,The Lego Batman Movie,53003468,175750384,122746916,30.20,4088,12965,10/02/2017,Warner Bros.
225,Batman Forever,52784433,184031112,131246679,28.70,2842,18572,16/06/1995,Warner Bros.
226,Paranormal Activity 3,52568183,104028807,51460624,50.50,3321,15829,21/10/2011,Paramount Pictures
227,Superman Returns,52535096,200081192,147546096,26.30,4065,12923,28/06/2006,Warner Bros.
228,The Bourne Supremacy,52521865,176241941,123720076,29.80,3165,16594,23/07/2004,Universal Pictures
229,Insurgent,52263680,130179072,77915392,40.20,3875,13487,20/03/2015,Lionsgate
230,"I, Robot",52179887,144801023,92621136,36,3420,15257,16/07/2004,Twentieth Century Fox
231,Men in Black II,52148751,190418803,138270052,27.40,3557,14660,03/07/2002,Sony Pictures Releasing
232,Home,52107731,177397510,125289779,29.40,3708,14052,27/03/2015,Twentieth Century Fox
233,Van Helsing,51748040,120177084,68429044,43.10,3575,14474,07/05/2004,Universal Pictures
234,8 Mile,51240555,116750901,65510346,43.90,2470,20745,08/11/2002,Universal Pictures
235,Men in Black,51068455,250690539,199622084,20.40,3020,16910,02/07/1997,Sony Pictures Releasing
